Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
Abschreibungen auf Sachanlagen (Gruppe),Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen (Gruppe),,,1,,Expense,EUR
Abschreibungen auf Sachanlagen (ohne AfA auf Kfz und Gebäude),Abschreibungen auf Sachanlagen (Gruppe),6220,,0,Depreciation,Expense,EUR
Abschreibungen auf Gebäude,Abschreibungen auf Sachanlagen (Gruppe),6221,,0,Depreciation,Expense,EUR
Abschreibungen auf Kfz,Abschreibungen auf Sachanlagen (Gruppe),6222,,0,Depreciation,Expense,EUR
Abschreibungen auf Gebäudeanteil des häuslichen Arbeitszimmers,Abschreibungen auf Sachanlagen (Gruppe),6223,,0,Depreciation,Expense,EUR
Abschreibungen auf Sachanlagen auf Grund steuerlicher Sondervorschriften (Gruppe),Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen (Gruppe),,,1,,Expense,EUR
"Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten (Gruppe)",2 - Herstellungskosten der zur Erzielung der Umsatzerlöse erbrachten Leistungen,,,1,,Expense,EUR
Abschreibungen auf sonstige Vermögensgegenstände des Umlaufvermögens (soweit unübliche Höhe),"Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten (Gruppe)",6270,,0,Expense Account,Expense,EUR
"Abschreibungen auf Roh-, Hilfs- und Betriebsstoffe/Waren (soweit unüblich hoch)","Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten (Gruppe)",6278,,0,Expense Account,Expense,EUR
Abschreibungen auf fertige und unfertige Erzeugnisse (soweit unüblich hoch),"Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten (Gruppe)",6279,,0,Expense Account,Expense,EUR
"Abschreibungen auf Forderungen gg. Kapitalges., an denen eine Beteiligung besteht (soweit unüblich hoch)","Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten (Gruppe)",6290,,0,Expense Account,Expense,EUR
"Forderungsverluste, unüblich hoch (Gruppe)","Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten (Gruppe)",,,1,,Expense,EUR
"Forderungsverluste, unüblich hoch","Forderungsverluste, unüblich hoch (Gruppe)",6280,,0,Expense Account,Expense,EUR
Forderungsverluste 7% USt (soweit unüblich hoch),"Forderungsverluste, unüblich hoch (Gruppe)",6281,,0,Expense Account,Expense,EUR
Forderungsverluste 16% USt (soweit unüblich hoch),"Forderungsverluste, unüblich hoch (Gruppe)",6285,,0,Expense Account,Expense,EUR
Forderungsverluste 19% USt (soweit unüblich hoch),"Forderungsverluste, unüblich hoch (Gruppe)",6286,,0,Expense Account,Expense,EUR
Forderungsverluste 15% USt (soweit unüblich hoch),"Forderungsverluste, unüblich hoch (Gruppe)",6287,,0,Expense Account,Expense,EUR
Außerplanmäßige Abschreibungen auf Sachanlagen (Gruppe),Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen (Gruppe),,,1,,Expense,EUR
Außerplanmäßige Abschreibungen auf Sachanlagen,Außerplanmäßige Abschreibungen auf Sachanlagen (Gruppe),6230,,0,Expense Account,Expense,EUR
Absetzung für außergewöhnliche technische und wirtschaftliche Abnutzung der Gebäude,Außerplanmäßige Abschreibungen auf Sachanlagen (Gruppe),6231,,0,Expense Account,Expense,EUR
Absetzung für außergewöhnliche technische und wirtschaftliche Abnutzung des Kfz,Außerplanmäßige Abschreibungen auf Sachanlagen (Gruppe),6232,,0,Expense Account,Expense,EUR
Absetzung für außergewöhnliche technische und wirtschaftliche Abnutzung sonstiger Wirtschaftsgüter,Außerplanmäßige Abschreibungen auf Sachanlagen (Gruppe),6233,,0,Expense Account,Expense,EUR
Bezugsnebenkosten (Gruppe),"Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren (Gruppe)",,,1,,Expense,EUR
Bezugsnebenkosten,Bezugsnebenkosten (Gruppe),5800,,0,Expenses Included In Valuation,Expense,EUR
Leergut,Bezugsnebenkosten (Gruppe),5820,,0,Expense Account,Expense,EUR
Zölle und Einfuhrabgaben,Bezugsnebenkosten (Gruppe),5840,,0,Expenses Included In Valuation,Expense,EUR
Verrechnete Stoffkosten (Gegenkonto 5000-99) oder (4000-99),Bezugsnebenkosten (Gruppe),5860,,0,Expense Account,Expense,EUR
Materialaufwand (Gruppe),"Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren (Gruppe)",,,1,,Expense,EUR
"Einkauf Roh-, Hilfs- und Betriebsstoffe",Materialaufwand (Gruppe),5100,,0,Expense Account,Expense,EUR
"Einkauf Roh-, Hilfs- und Betriebsstoffe 7% Vorsteuer",Materialaufwand (Gruppe),5110,,0,Expense Account,Expense,EUR
"Einkauf Roh-, Hilfs- und Betriebsstoffe 19% Vorsteuer",Materialaufwand (Gruppe),5130,,0,Expense Account,Expense,EUR
"Einkauf Roh-, Hilfs- und Betriebsstoffe, innergem. Erwerb 7% Vorst. u. 7% Ust.",Materialaufwand (Gruppe),5160,,0,Expense Account,Expense,EUR
"Einkauf Roh-, Hilfs- und Betriebsstoffe, innergem. Erwerb 19% Vorst. u. 19% Ust.",Materialaufwand (Gruppe),5162,,0,Expense Account,Expense,EUR
"Einkauf Roh-, Hilfs- und Betriebsstoffe, innergem. Erwerb ohne Vorsteuer und 7% Umsatzsteuer",Materialaufwand (Gruppe),5166,,0,Expense Account,Expense,EUR
"Einkauf Roh-, Hilfs- und Betriebsstoffe, innergem. Erwerb ohne Vorsteuer und 19% Umsatzsteuer",Materialaufwand (Gruppe),5167,,0,Expense Account,Expense,EUR
"Einkauf Roh-, Hilfs- und Betriebsstoffe 5,5% Vorsteuer",Materialaufwand (Gruppe),5170,,0,Expense Account,Expense,EUR
"Einkauf Roh-, Hilfs- und Betriebsstoffe 10,7% Vorsteuer",Materialaufwand (Gruppe),5171,,0,Expense Account,Expense,EUR
"Einkauf Roh-, Hilfs- und Betriebsstoffe aus einem USt-Lager § 13a UStG 7% Vorst. und 7% Ust.",Materialaufwand (Gruppe),5175,,0,Expense Account,Expense,EUR
"Einkauf Roh-, Hilfs- und Betriebsstoffe aus einem USt-Lager § 13a UStG 19% Vorst. und 19% Ust.",Materialaufwand (Gruppe),5176,,0,Expense Account,Expense,EUR
"Erwerb Roh-, Hilfs- und Betriebsstoffe als letzter Abnehmer innerh. Dreiecksgesch. 19% Vorst. und 19% Ust.",Materialaufwand (Gruppe),5189,,0,Expense Account,Expense,EUR
Energiestoffe (Fertigung) (Gruppe),Materialaufwand (Gruppe),,,1,,Expense,EUR
Energiestoffe (Fertigung),Energiestoffe (Fertigung) (Gruppe),5190,,0,Expense Account,Expense,EUR
Energiestoffe (Fertigung) 7% Vorsteuer,Energiestoffe (Fertigung) (Gruppe),5191,,0,Expense Account,Expense,EUR
Energiestoffe (Fertigung) 19% Vorsteuer,Energiestoffe (Fertigung) (Gruppe),5192,,0,Expense Account,Expense,EUR
Erhaltene Skonti (Gruppe),"Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren (Gruppe)",,,1,,Expense,EUR
Erhaltene Skonti,Erhaltene Skonti (Gruppe),5730,,0,Expense Account,Expense,EUR
Erhaltene Skonti 7 % Vorsteuer,Erhaltene Skonti (Gruppe),5731,,0,Expense Account,Expense,EUR
"Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe",Erhaltene Skonti (Gruppe),5733,,0,Expense Account,Expense,EUR
"Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7% Vorsteuer",Erhaltene Skonti (Gruppe),5734,,0,Expense Account,Expense,EUR
Erhaltene Skonti 19 % Vorsteuer,Erhaltene Skonti (Gruppe),5736,,0,Expense Account,Expense,EUR
"Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19% Vorsteuer",Erhaltene Skonti (Gruppe),5738,,0,Expense Account,Expense,EUR
"Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe aus steuerpfl. innergem. Erwerb 19% Vorst. u. 19% Ust.",Erhaltene Skonti (Gruppe),5741,,0,Expense Account,Expense,EUR
"Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe aus steuerpfl. innergem. Erwerb 7% Vorst. u. 7% Ust.",Erhaltene Skonti (Gruppe),5743,,0,Expense Account,Expense,EUR
Erhaltene Skonti aus steuerpflichtigem innergem. Erwerb,Erhaltene Skonti (Gruppe),5745,,0,Expense Account,Expense,EUR
Erhaltene Skonti aus steuerpflichtigem innergem. Erwerb 7% Vorst. u. 7% Ust.,Erhaltene Skonti (Gruppe),5746,,0,Expense Account,Expense,EUR
Erhaltene Skonti aus steuerpflichtigem innergem. Erwerb 19% Vorst. u. 19% Ust.,Erhaltene Skonti (Gruppe),5748,,0,Expense Account,Expense,EUR
"Erhaltene Skonti aus Erwerb Roh-,Hilfs-,Betriebsstoff letzter Abn.innerh.Dreiecksg. 19% Vorst. und 19% Ust.",Erhaltene Skonti (Gruppe),5792,,0,Expense Account,Expense,EUR
Erhaltene Skonti aus Erwerb Waren als letzter Abnehmer innerh. Dreiecksgesch. 19% Vorst. u. 19% Ust.,Erhaltene Skonti (Gruppe),5793,,0,Expense Account,Expense,EUR
Aufwendungen für bezogene Leistungen (Gruppe),2 - Herstellungskosten der zur Erzielung der Umsatzerlöse erbrachten Leistungen,,,1,,Expense,EUR
Fremdleistungen (Gruppe),Aufwendungen für bezogene Leistungen (Gruppe),,,1,,Expense,EUR
Fremdleistungen,Fremdleistungen (Gruppe),5900,,0,Expense Account,Expense,EUR
Fremdleistungen 19% Vorsteuer,Fremdleistungen (Gruppe),5906,,0,Expense Account,Expense,EUR
Fremdleistungen ohne Vorsteuer,Fremdleistungen (Gruppe),5909,,0,Expense Account,Expense,EUR
"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",Aufwendungen für bezogene Leistungen (Gruppe),,,1,,Expense,EUR
Bauleistungen eines im Inland ansässigen Unternehmers 7% Vorst. u. 7% Ust.,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5910,,0,Expense Account,Expense,EUR
Sonstige Leistungen eines im anderen EU-Land ansässigen Unternehmers 7% Vorst. u. 7% Ust.,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5913,,0,Expense Account,Expense,EUR
Leistungen eines im Ausland ansässigen Unternehmers 7% Vorst. u. 7% Ust.,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5915,,0,Expense Account,Expense,EUR
Bauleistungen eines im Inland ansässigen Unternehmers 19% Vorst. u. 19% Ust.,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5920,,0,Expense Account,Expense,EUR
Sonstige Leistungen eines im anderen EU-Land ansässigen Unternehmers 19% Vorst. u. 19% Ust.,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5923,,0,Expense Account,Expense,EUR
Leistungen eines im Ausland ansässigen Unternehmers 19% Vorst. u. 19% Ust.,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5925,,0,Expense Account,Expense,EUR
Bauleistungen eines im Inland ansässigen Unternehmers ohne Vorst. und 7% Ust.,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5930,,0,Expense Account,Expense,EUR
Sonstige Leistungen eines im anderen EU-Land ansässigen Unternehmers ohne Vorst. und 7% Ust.,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5933,,0,Expense Account,Expense,EUR
Leistungen eines im Ausland ansässigen Unternehmers ohne Vorst. und 7% Ust.,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5935,,0,Expense Account,Expense,EUR
Bauleistungen eines im Inland ansässigen Unternehmers ohne Vorsteuer und 19 % Umsatzsteuer,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5940,,0,Expense Account,Expense,EUR
Sonstige Leistungen eines im anderen EU-Land ansässigen Unternehmers ohne Vorsteuer und 19 % Umsatzsteuer,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5943,,0,Expense Account,Expense,EUR
Leistungen eines im Ausland ansässigen Unternehmers ohne Vorsteuer und 19 % Umsatzsteuer,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5945,,0,Expense Account,Expense,EUR
Leistungen nach § 13b UStG mit Vorsteuerabzug,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5960,,0,Expense Account,Expense,EUR
Leistungen nach § 13b UStG ohne Vorsteuerabzug,"Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird (Gruppe)",5965,,0,Expense Account,Expense,EUR
"Erhaltene Skonti aus Leistungen, für die als Leistungsemp für die Steuer geschuldet wird (Gruppe)",Aufwendungen für bezogene Leistungen (Gruppe),,,1,,Expense,EUR
"Erhaltene Skonti aus Leistungen, für die als Leistungsemp für die Steuer nach § 13b UStG geschuldet wird","Erhaltene Skonti aus Leistungen, für die als Leistungsemp für die Steuer geschuldet wird (Gruppe)",5950,,0,Expense Account,Expense,EUR
"Erhaltene Skonti aus Leistungen,für die als Leistungsemp für die Steuer geschuldet wird 19 % Vorst. und 19 % Ust.","Erhaltene Skonti aus Leistungen, für die als Leistungsemp für die Steuer geschuldet wird (Gruppe)",5951,,0,Expense Account,Expense,EUR
"Erhaltene Skonti aus Leistungen, für die als Leistungsemp für die Steuer geschuldet wird ohne Vorst. aber mit Uts.","Erhaltene Skonti aus Leistungen, für die als Leistungsemp für die Steuer geschuldet wird (Gruppe)",5953,,0,Expense Account,Expense,EUR
"Erhaltene Skonti aus Leistungen, für die als Leistungsemp für die Steuer geschuldet wird ohne Vorst., mit 19 % Ust.","Erhaltene Skonti aus Leistungen, für die als Leistungsemp für die Steuer geschuldet wird (Gruppe)",5954,,0,Expense Account,Expense,EUR
Herstellungskosten: Schwund,2 - Herstellungskosten der zur Erzielung der Umsatzerlöse erbrachten Leistungen,,,0,Stock Adjustment,Expense,EUR
Löhne und Gehälter (Gruppe),2 - Herstellungskosten der zur Erzielung der Umsatzerlöse erbrachten Leistungen,,,1,,Expense,EUR
Löhne und Gehälter,Löhne und Gehälter (Gruppe),6000,,0,Expense Account,Expense,EUR
Löhne,Löhne und Gehälter (Gruppe),6010,,0,Expense Account,Expense,EUR
Gehälter,Löhne und Gehälter (Gruppe),6020,,0,Expense Account,Expense,EUR
Tantiemen,Löhne und Gehälter (Gruppe),6026,,0,Expense Account,Expense,EUR
Aushilfslöhne,Löhne und Gehälter (Gruppe),6030,,0,Expense Account,Expense,EUR
Löhne für Minijobs,Löhne und Gehälter (Gruppe),6035,,0,Expense Account,Expense,EUR
Pauschale Steuern und Abgaben für Sachzuwendungen und Dienstleistungen an Arbeitnehmer,Löhne und Gehälter (Gruppe),6039,,0,Expense Account,Expense,EUR
Pauschale Steuer für Aushilfen,Löhne und Gehälter (Gruppe),6040,,0,Expense Account,Expense,EUR
Bedienungsgelder,Löhne und Gehälter (Gruppe),6045,,0,Expense Account,Expense,EUR
Ehegattengehalt,Löhne und Gehälter (Gruppe),6050,,0,Expense Account,Expense,EUR
Freiwillige soziale Aufwendungen lohnsteuerpflichtig,Löhne und Gehälter (Gruppe),6060,,0,Expense Account,Expense,EUR
Pauschale Steuer auf sonstige Bezüge (z. B. Fahrtkostenzuschüsse),Löhne und Gehälter (Gruppe),6069,,0,Expense Account,Expense,EUR
Krankengeldzuschüsse,Löhne und Gehälter (Gruppe),6070,,0,Expense Account,Expense,EUR
Sachzuwendungen und Dienstleistungen an Arbeitnehmer,Löhne und Gehälter (Gruppe),6072,,0,Expense Account,Expense,EUR
Zuschüsse der Agenturen für Arbeit (Haben),Löhne und Gehälter (Gruppe),6075,,0,Expense Account,Expense,EUR
Vermögenswirksame Leistungen,Löhne und Gehälter (Gruppe),6080,,0,Expense Account,Expense,EUR
Fahrtkostenerstattung - Wohnung/Arbeitsstätte,Löhne und Gehälter (Gruppe),6090,,0,Expense Account,Expense,EUR
Nachlässe (Gruppe),"Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren (Gruppe)",,,1,,Expense,EUR
Nachlässe,Nachlässe (Gruppe),5700,,0,Expense Account,Expense,EUR
"Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe",Nachlässe (Gruppe),5701,,0,Expense Account,Expense,EUR
Nachlässe 7 % Vorsteuer,Nachlässe (Gruppe),5710,,0,Expense Account,Expense,EUR
"Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7% Vorsteuer",Nachlässe (Gruppe),5714,,0,Expense Account,Expense,EUR
"Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19% Vorsteuer",Nachlässe (Gruppe),5715,,0,Expense Account,Expense,EUR
"Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe, innergem. Erwerb 7% Vorst. u. 7% Ust.",Nachlässe (Gruppe),5717,,0,Expense Account,Expense,EUR
"Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe, innergem. Erwerb 19% Vorst. u. 19% Ust.",Nachlässe (Gruppe),5718,,0,Expense Account,Expense,EUR
Nachlässe 19 % Vorsteuer,Nachlässe (Gruppe),5720,,0,Expense Account,Expense,EUR
Nachlässe aus innergem. Erwerb 7% Vorst. u. 7% Ust.,Nachlässe (Gruppe),5724,,0,Expense Account,Expense,EUR
Nachlässe aus innergem. Erwerb 19% Vorst. u. 19% Ust.,Nachlässe (Gruppe),5725,,0,Expense Account,Expense,EUR
Nicht abziehbare Vorsteuer (Gruppe),"Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren (Gruppe)",,,1,,Expense,EUR
Nicht abziehbare Vorsteuer,Nicht abziehbare Vorsteuer (Gruppe),5600,,0,Expense Account,Expense,EUR
Nicht abziehbare Vorsteuer 19 % (Gruppe),Nicht abziehbare Vorsteuer (Gruppe),,,1,,Expense,EUR
Nicht abziehbare Vorsteuer 19 %,Nicht abziehbare Vorsteuer 19 % (Gruppe),5660,,0,Expense Account,Expense,EUR
Nicht abziehbare Vorsteuer 7 % (Gruppe),Nicht abziehbare Vorsteuer (Gruppe),,,1,,Expense,EUR
Nicht abziehbare Vorsteuer 7 %,Nicht abziehbare Vorsteuer 7 % (Gruppe),5610,,0,Expense Account,Expense,EUR
Soziale Abgaben und Aufwendungen für  Altersvers. und für Unterstützung (Gruppe),2 - Herstellungskosten der zur Erzielung der Umsatzerlöse erbrachten Leistungen,,,1,,Expense,EUR
Soziale Abgaben und Aufwendungen für  Altersvers. und für Unterstützung,Soziale Abgaben und Aufwendungen für  Altersvers. und für Unterstützung (Gruppe),6100,,0,Expense Account,Expense,EUR
Gesetzliche soziale Aufwendungen,Soziale Abgaben und Aufwendungen für  Altersvers. und für Unterstützung (Gruppe),6110,,0,Expense Account,Expense,EUR
Beiträge zur Berufsgenossenschaft,Soziale Abgaben und Aufwendungen für  Altersvers. und für Unterstützung (Gruppe),6120,,0,Expense Account,Expense,EUR
Freiwillige soziale Aufwendungen lohnsteuerfrei,Soziale Abgaben und Aufwendungen für  Altersvers. und für Unterstützung (Gruppe),6130,,0,Expense Account,Expense,EUR
Versorgungskassen,Soziale Abgaben und Aufwendungen für  Altersvers. und für Unterstützung (Gruppe),6150,,0,Expense Account,Expense,EUR
Aufwendungen für Unterstützung,Soziale Abgaben und Aufwendungen für  Altersvers. und für Unterstützung (Gruppe),6160,,0,Expense Account,Expense,EUR
Sonstige soziale Abgaben,Soziale Abgaben und Aufwendungen für  Altersvers. und für Unterstützung (Gruppe),6170,,0,Expense Account,Expense,EUR
Wareneingang (Gruppe),"Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren (Gruppe)",,,1,,Expense,EUR
Wareneingang,Wareneingang (Gruppe),5200,,0,Expense Account,Expense,EUR
Wareneingang 7 % Vorsteuer,Wareneingang (Gruppe),5300,,0,Expense Account,Expense,EUR
Wareneingang 19 % Vorsteuer,Wareneingang (Gruppe),5400,,0,Expense Account,Expense,EUR
"Wareneingang 5,5 % Vorsteuer",Wareneingang (Gruppe),5505,,0,Expense Account,Expense,EUR
"Wareneingang zum Durchschnittssatz nach § 24 UStG
7,8 % Vorsteuer",Wareneingang (Gruppe),5540,,0,Expense Account,Expense,EUR
Steuerfreier innergem. Erwerb,Wareneingang (Gruppe),5550,,0,Expense Account,Expense,EUR
Wareneingang im Drittland steuerbar,Wareneingang (Gruppe),5551,,0,Expense Account,Expense,EUR
Erwerb 1. Abnehmer innerh. eines Dreieckgeschäftes,Wareneingang (Gruppe),5552,,0,Expense Account,Expense,EUR
Erwerb Waren als letzter Abnehmer innerh. Dreiecksgesch. 19% Vorst. u. 19% Ust.,Wareneingang (Gruppe),5553,,0,Expense Account,Expense,EUR
Wareneingang im anderen EU-Land steuerbar,Wareneingang (Gruppe),5558,,0,Expense Account,Expense,EUR
Steuerfreie Einfuhren,Wareneingang (Gruppe),5559,,0,Expense Account,Expense,EUR
"Waren aus einem Umsatzsteuerlager, § 13a UStG 7% Vorst. u. 7% Ust.",Wareneingang (Gruppe),5560,,0,Expense Account,Expense,EUR
"Waren aus einem Umsatzsteuerlager, § 13a UStG 19% Vorst. u. 19% Ust.",Wareneingang (Gruppe),5565,,0,Expense Account,Expense,EUR
Erhaltene Boni (Gruppe),"Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren (Gruppe)",,,1,,Expense,EUR
Erhaltene Boni 7 % Vorsteuer,Erhaltene Boni (Gruppe),5750,,0,Expense Account,Expense,EUR
"Erhaltene Boni aus Einkauf Roh-, Hilfs- und Betriebsstoffe",Erhaltene Boni (Gruppe),5753,,0,Expense Account,Expense,EUR
"Erhaltene Boni aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7% Vorsteuer",Erhaltene Boni (Gruppe),5754,,0,Expense Account,Expense,EUR
"Erhaltene Boni aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19% Vorsteuer",Erhaltene Boni (Gruppe),5755,,0,Expense Account,Expense,EUR
Erhaltene Boni 19 % Vorsteuer,Erhaltene Boni (Gruppe),5760,,0,Expense Account,Expense,EUR
Erhaltene Boni,Erhaltene Boni (Gruppe),5769,,0,Expense Account,Expense,EUR
Erhaltene Rabatte (Gruppe),"Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren (Gruppe)",,,1,,Expense,EUR
Erhaltene Rabatte,Erhaltene Rabatte (Gruppe),5770,,0,Expense Account,Expense,EUR
Erhaltene Rabatte 7 % Vorsteuer,Erhaltene Rabatte (Gruppe),5780,,0,Expense Account,Expense,EUR
"Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und Betriebsstoffe",Erhaltene Rabatte (Gruppe),5783,,0,Expense Account,Expense,EUR
"Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7% Vorsteuer",Erhaltene Rabatte (Gruppe),5784,,0,Expense Account,Expense,EUR
"Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19% Vorsteuer",Erhaltene Rabatte (Gruppe),5785,,0,Expense Account,Expense,EUR
Erhaltene Rabatte 19 % Vorsteuer,Erhaltene Rabatte (Gruppe),5790,,0,Expense Account,Expense,EUR
Sonstige Kosten (Gruppe),2 - Herstellungskosten der zur Erzielung der Umsatzerlöse erbrachten Leistungen,,,1,,Expense,EUR
Sonstige betriebliche Aufwendungen,Sonstige Kosten (Gruppe),6300,,0,Expense Account,Expense,EUR
Interimskonto für Aufw. in einem anderen Land (Vorst.verg. möglich),Sonstige Kosten (Gruppe),6302,,0,Expense Account,Expense,EUR
Fremdleistungen/Fremdarbeiten,Sonstige Kosten (Gruppe),6303,,0,Expense Account,Expense,EUR
Raumkosten,Sonstige Kosten (Gruppe),6305,,0,Expense Account,Expense,EUR
Miete (unbewegliche Wirtschaftsgüter),Sonstige Kosten (Gruppe),6310,,0,Expense Account,Expense,EUR
Miete/Aufwendungen für doppelte Haushaltsführung,Sonstige Kosten (Gruppe),6312,,0,Expense Account,Expense,EUR
Pacht (unbewegliche Wirtschaftsgüter),Sonstige Kosten (Gruppe),6315,,0,Expense Account,Expense,EUR
Leasing (unbewegliche Wirtschaftsgüter),Sonstige Kosten (Gruppe),6316,,0,Expense Account,Expense,EUR
"Aufwendungen für gemietete oder gepachtete unbewegliche Wirtschaftsg., die GewSt hinzuzurechnen sind",Sonstige Kosten (Gruppe),6317,,0,Expense Account,Expense,EUR
Miet- und Pachtnebenkosten (GewSt nicht zu berücksichtigen),Sonstige Kosten (Gruppe),6318,,0,Expense Account,Expense,EUR
Heizung,Sonstige Kosten (Gruppe),6320,,0,Expense Account,Expense,EUR
"Gas, Strom, Wasser",Sonstige Kosten (Gruppe),6325,,0,Expense Account,Expense,EUR
Reinigung,Sonstige Kosten (Gruppe),6330,,0,Expense Account,Expense,EUR
Instandhaltung betrieblicher Räume,Sonstige Kosten (Gruppe),6335,,0,Expense Account,Expense,EUR
Abgaben für betrieblich genutzten Grundbesitz,Sonstige Kosten (Gruppe),6340,,0,Expense Account,Expense,EUR
Sonstige Raumkosten,Sonstige Kosten (Gruppe),6345,,0,Expense Account,Expense,EUR
Aufwendungen für ein häusliches Arbeitszimmer (abziehbarer Anteil),Sonstige Kosten (Gruppe),6348,,0,Expense Account,Expense,EUR
Aufwendungen für ein häusliches Arbeitszimmer (nicht abziehbarer Anteil),Sonstige Kosten (Gruppe),6349,,0,Expense Account,Expense,EUR
Grundstücksaufwendungen betrieblich,Sonstige Kosten (Gruppe),6350,,0,Expense Account,Expense,EUR
Grundstücksaufwendungen neutral,Sonstige Kosten (Gruppe),6352,,0,Expense Account,Expense,EUR
Versicherungen,Sonstige Kosten (Gruppe),6400,,0,Expense Account,Expense,EUR
"Versicherungen für Gebäude, die zum Betriebsvermögen gehören",Sonstige Kosten (Gruppe),6405,,0,Expense Account,Expense,EUR
Netto-Prämie für Rückdeckung künftiger Versorgungsleistungen,Sonstige Kosten (Gruppe),6410,,0,Expense Account,Expense,EUR
Beiträge,Sonstige Kosten (Gruppe),6420,,0,Expense Account,Expense,EUR
Sonstige Abgaben,Sonstige Kosten (Gruppe),6430,,0,Expense Account,Expense,EUR
Steuerlich abzugsfähige Verspätungszuschläge und Zwangsgelder,Sonstige Kosten (Gruppe),6436,,0,Expense Account,Expense,EUR
Steuerlich nicht abzugsfähige Verspätungszuschläge und Zwangsgelder,Sonstige Kosten (Gruppe),6437,,0,Expense Account,Expense,EUR
Ausgleichsabgabe i. S. d. Schwerbehindertengesetzes,Sonstige Kosten (Gruppe),6440,,0,Expense Account,Expense,EUR
Reparaturen und Instandhaltung von Bauten,Sonstige Kosten (Gruppe),6450,,0,Expense Account,Expense,EUR
Reparaturen und Instandhaltung von technischenAnlagen und Maschinen,Sonstige Kosten (Gruppe),6460,,0,Expense Account,Expense,EUR
Reparaturen und Instandhaltung von anderen Anlagen und Betriebs- und Geschäftsausstattung,Sonstige Kosten (Gruppe),6470,,0,Expense Account,Expense,EUR
