Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
Sonstige steuerfreie Umsätze (z. B. § 4 Nr. 2-7 UStG),Steuerfreie Umsätze § 4 Nr. 8 ff UStG (Gruppe),4150,,0,Income Account,Income,EUR
Steuerfreie Umsätze ohne Vorsteuerabzug zum Gesamtumsatz gehörend,Steuerfreie Umsätze § 4 Nr. 8 ff UStG (Gruppe),4160,,0,Income Account,Income,EUR
"Erlöse, die mit den Durchschnittssätzen des § 24 UStG versteuert werden",Steuerfreie Umsätze § 4 Nr. 8 ff UStG (Gruppe),4180,,0,Income Account,Income,EUR
Erlöse aus Kleinunternehmer i. S. d. § 19 Abs. 1 UStG,Steuerfreie Umsätze § 4 Nr. 8 ff UStG (Gruppe),4185,,0,Income Account,Income,EUR
Erlöse aus Geldspielautomaten 19 % USt,Steuerfreie Umsätze § 4 Nr. 8 ff UStG (Gruppe),4186,,0,Income Account,Income,EUR
Lieferungen des ersten Abnehmers bei innergem. Dreiecksgesch.en § 25b Abs. 2 UStG (Gruppe),Steuerfreie Umsätze § 4 Nr. 8 ff UStG (Gruppe),,,1,,Income,EUR
Lieferungen des ersten Abnehmers bei innergem. Dreiecksgesch.en § 25b Abs. 2 UStG,Lieferungen des ersten Abnehmers bei innergem. Dreiecksgesch.en § 25b Abs. 2 UStG (Gruppe),4130,,0,Income Account,Income,EUR
Steuerfreie innergem. Lieferungen von Neufahrzeugen an Abnehmer ohne Ust-ID,Lieferungen des ersten Abnehmers bei innergem. Dreiecksgesch.en § 25b Abs. 2 UStG (Gruppe),4135,,0,Income Account,Income,EUR
Umsatzerlöse nach §§ 25 und 25a UStG 19% USt,Lieferungen des ersten Abnehmers bei innergem. Dreiecksgesch.en § 25b Abs. 2 UStG (Gruppe),4136,,0,Income Account,Income,EUR
Umsatzerlöse nach §§ 25 und 25a UStG ohne USt,Lieferungen des ersten Abnehmers bei innergem. Dreiecksgesch.en § 25b Abs. 2 UStG (Gruppe),4138,,0,Income Account,Income,EUR
"Umsatzerlöse aus Reiseleistungen § 25 Abs. 2 UStG, steuerfrei",Lieferungen des ersten Abnehmers bei innergem. Dreiecksgesch.en § 25b Abs. 2 UStG (Gruppe),4139,,0,Income Account,Income,EUR
Steuerfreie Umsätze § 4 Nr. 1a UStG (Gruppe),Steuerfreie Umsätze § 4 Nr. 8 ff UStG (Gruppe),,,1,,Income,EUR
Steuerfreie Umsätze § 4 Nr. 1a UStG,Steuerfreie Umsätze § 4 Nr. 1a UStG (Gruppe),4120,,0,Income Account,Income,EUR
Steuerfreie Innergemeinschaftliche Lieferungen § 4 Nr. 1b UStG,Steuerfreie Umsätze § 4 Nr. 1a UStG (Gruppe),4125,,0,Income Account,Income,EUR
Gewährte Boni (Gruppe),1 - Umsatzerlöse,,,1,,Income,EUR
Gewährte Boni 7 % USt,Gewährte Boni (Gruppe),4750,,0,Income Account,Income,EUR
Gewährte Boni 19 % USt,Gewährte Boni (Gruppe),4760,,0,Income Account,Income,EUR
